"","WoSitnu","WoOppnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_.","Leeftijd"
"218","Bij ouders",25,"nee","21-40 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,300,"belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","neutraal","past enigszins","past enigszins","past wel","past niet","past wel","man",1996,150,"Bedrijfskunde /MER","nee                                                                                                                                                                                                                                                       ","Selected",21
"219","Bij ouders",25,"nee","21-40 min.",7,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",NA,NA,"neutraal","neutraal","belangrijk","neutraal","belangrijk","neutraal","onbelangrijk","past enigszins","past enigszins","past enigszins","past enigszins","past enigszins","man",1998,250,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ",NA,19
"220","Bij ouders",25,"nee","21-40 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",25,400,"zeer belangrijk","belangrijk","onbelangrijk","onbelangrijk","belangrijk","belangrijk","belangrijk","past wel","past volledig","past helemaal niet","past niet","past volledig","man",1998,250,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",19
"221","Bij ouders",25,"nee","61-90 min.",8,"Zeer fijne omstandigheden, soms te luidruchtig                                                                                                                                                                                                            ","nee, voorlopig niet van pan",20,400,"belangrijk","belangrijk","belangrijk","onbelangrijk","neutraal","belangrijk","neutraal","past wel","past niet","past wel","past enigszins","past wel","man",1998,250,"Human Resource Management","Nee                                                                                                                                                                                                                                                       ","Selected",19
"222","Bij ouders",25,"ja","minder dan 10 min.",10,"Ik ben thuis van alles voorzien, dus heb niks te klagen.                                                                                                                                                                                                  ","nee, voorlopig niet van pan",20,500,"zeer belangrijk","belangrijk","zeer belangrijk","zeer onbelangrijk","onbelangrijk","onbelangrijk","onbelangrijk","past wel","past enigszins","past wel","past enigszins","past enigszins","man",1998,580,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",19
"223","Bij ouders",25,"nee","21-40 min.",9,"Thuis bij je ouders zonder extra kosten is altijd prettig.                                                                                                                                                                                                ","weet ik  (nog)  niet",20,399,"belangrijk","neutraal","neutraal","belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","past wel","past niet","past wel","past enigszins","past enigszins","man",1996,750,"Human Resource Management","Een goede eenvoudige enquete, zeer gemakkelijk in te vullen.                                                                                                                                                                                              ","Selected",21
"224","Bij ouders",25,"nee","21-40 min.",7,"Ik zou liever niet meer thuis wonen                                                                                                                                                                                                                       ","nee, voorlopig niet van pan",20,400,"zeer belangrijk","neutraal","belangrijk","zeer belangrijk","belangrijk","neutraal","neutraal","past niet","past helemaal niet","past wel","past helemaal niet","past niet","man",1993,1000,"Facility Management","Lekker kort. Niet te moeilijk                                                                                                                                                                                                                             ","Selected",24
"225","Bij ouders",25,"nee","21-40 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,350,"belangrijk","neutraal","neutraal","belangrijk","belangrijk","neutraal","neutraal","past wel","past niet","past niet","past helemaal niet","past enigszins","man",1993,1200,"Facility Management","Duidelijk en goed geformuleerde vragen!                                                                                                                                                                                                                   ","Selected",24
"226","Bij ouders",25,"nee","langer dan 90 min.",8,"woon er bijna gratis                                                                                                                                                                                                                                      ","ja, over een  half jaar tot een jaar",20,400,"neutraal","onbelangrijk","neutraal","neutraal","belangrijk","belangrijk","neutraal","past wel","past enigszins","past niet","past helemaal niet","past enigszins","man",1990,850,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",27
"227","Bij ouders",26,"ja","21-40 min.",7,"Mooi ruim huis, alleen de wijk is vrij saai                                                                                                                                                                                                               ","ja, over een  half jaar tot een jaar",12,450,"neutraal","zeer onbelangrijk","zeer onbelangrijk","onbelangrijk","zeer belangrijk","belangrijk","neutraal","past volledig","past niet","past wel","past wel","past niet","man",1996,752,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected",21
"228","Bij ouders",30,"nee","61-90 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",40,40,"belangrijk","neutraal","neutraal","belangrijk","belangrijk","belangrijk","neutraal","past wel","past wel","past niet","past enigszins","past wel","man",1996,160,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected",21
"229","Bij ouders",30,"nee","21-40 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",20,250,"zeer belangrijk","neutraal","belangrijk","neutraal","belangrijk","neutraal","neutraal","past volledig","past niet","past wel","past niet","past niet","man",1997,500,"Logistiek","nee                                                                                                                                                                                                                                                       ","Selected",20
"230","Bij ouders",30,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",30,400,"neutraal","neutraal","belangrijk","zeer belangrijk","neutraal","belangrijk","onbelangrijk","past enigszins","past niet","past volledig","past helemaal niet","past niet","man",1997,800,"Bedrijfskunde /MER","nee                                                                                                                                                                                                                                                       ","Selected",20
"231","Bij ouders",35,"ja","minder dan 10 min.",9,"Ik wil misschien op kamers, maar tot zover is mijn huidige woonsituatie prima.                                                                                                                                                                            ","ja, over een  half jaar tot een jaar",20,380,"zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","past niet","past enigszins","past enigszins","past niet","past wel","man",1996,300,"Logistiek","Nee                                                                                                                                                                                                                                                       ","Selected",21
"232","Bij ouders",36,"nee","61-90 min.",10,"ik heb de ruimte die ik nodig heb en als ik thuis kom hoef meestal niet te koken omdat dat al gedaan is.                                                                                                                                                  ","weet ik  (nog)  niet",40,400,"belangrijk","zeer onbelangrijk","belangrijk","belangrijk","zeer belangrijk","neutraal","neutraal","past enigszins","past niet","past wel","past niet","past niet","man",1998,577,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"233","Bij ouders",40,"nee","41-60 min.",9,"Ik woon bij mijn ouders en heb niks te klagen.                                                                                                                                                                                                            ","nee, voorlopig niet van pan",30,600,"zeer belangrijk","neutraal","belangrijk","neutraal","belangrijk","belangrijk","neutraal","past niet","past niet","past enigszins","past wel","past enigszins","man",1997,150,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",20
"234","Bij ouders",40,"nee","41-60 min.",8,"ik woon goed in mijn dorp maar er zijn geen winkels e.d.                                                                                                                                                                                                  ","ja, over een  half jaar tot een jaar",12,350,"belangrijk","neutraal","belangrijk","neutraal","belangrijk","zeer belangrijk","belangrijk","past enigszins","past wel","past niet","past niet","past wel","man",1997,200,"Logistiek","goede enquete                                                                                                                                                                                                                                             ","Selected",20
"235","Bij ouders",40,"ja","minder dan 10 min.",8,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",20,450,"belangrijk","neutraal","belangrijk","onbelangrijk","neutraal","neutraal","neutraal","past enigszins","past niet","past wel","past niet","past wel","man",1996,400,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",21
"236","Bij ouders",45,"ja","10-20 min.",9,"woon er al langer dan 15 jaar                                                                                                                                                                                                                             ","nee, voorlopig niet van pan",60,250,"belangrijk","neutraal","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","past helemaal niet","past enigszins","past helemaal niet","past helemaal niet","past helemaal niet","man",1992,980,"Human Resource Management","Antwoord mogelijkheden i.p.v. open vragen over m2                                                                                                                                                                                                         ","Selected",25
"237","Bij ouders",48,"nee","41-60 min.",7,"Op zoek naar een appartement voor me zelf.                                                                                                                                                                                                                ","ja, binnen half jaar",25,800,"belangrijk","neutraal","neutraal","neutraal","zeer belangrijk","belangrijk","onbelangrijk","past enigszins","past helemaal niet","past wel","past helemaal niet","past helemaal niet","man",1994,2500,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",23
"238","Bij ouders",50,"nee","21-40 min.",10,"nee                                                                                                                                                                                                                                                       ","nee, voorlopig niet van pan",30,400,"belangrijk","neutraal","zeer belangrijk","belangrijk","neutraal","belangrijk","onbelangrijk","past enigszins","past wel","past enigszins","past wel","past enigszins","man",1996,450,"Logistiek","nee                                                                                                                                                                                                                                                       ","Selected",21
"239","Bij ouders",50,"nee","10-20 min.",8,"grote kamer dichtbij de Han, beter kan je het niet hebben toch.                                                                                                                                                                                           ","nee, voorlopig niet van pan",50,150,"belangrijk","neutraal","neutraal","neutraal","belangrijk","neutraal","onbelangrijk","past niet","past helemaal niet","past wel","past wel","past helemaal niet","man",1997,500,"Logistiek","nee                                                                                                                                                                                                                                                       ","Selected",20
